Model,Zoom tele (T),Normal focus range,Macro focus range,Storage included,Weight (inc. batteries),Dimensions,Price
Canon EOS-1Ds Mark III,0,0,0,0,1385,150,7999
Canon EOS 20D,0,0,0,0,770,144,1299
Canon EOS 20Da,0,0,0,0,770,144,1299
Canon EOS 300D / Digital Rebel,0,0,0,0,645,142,1299
Canon EOS 30D,0,0,0,0,784,144,1299
Canon EOS 350D / Digital Rebel XT,0,0,0,0,540,127,1299
Canon EOS 400D / Digital Rebel XTi,0,0,0,0,556,127,1299
Canon EOS 40D,0,0,0,0,822,146,1299
Canon EOS 5D,0,0,0,0,895,152,2499
Canon EOS D30,0,0,0,16,855,150,549
Canon EOS D60,0,0,0,16,855,150,549
Canon PowerShot G1,102,70,6,16,490,120,499
Canon PowerShot G2,102,70,6,32,510,121,499
Canon PowerShot G3,140,50,5,32,490,121,499
Canon PowerShot G5,140,50,5,32,490,121,149
Canon PowerShot G6,140,50,5,32,467,105,499
Canon PowerShot G7,210,50,1,32,380,106,499
Canon PowerShot G9,210,50,1,32,370,106,499
Canon PowerShot Pro1,200,50,3,64,640,118,139
Canon PowerShot Pro70,70,32,12,8,800,148,199
Canon PowerShot Pro90 IS,370,10,10,16,680,127,384
Canon PowerShot S10,70,46,12,8,320,106,399
Canon PowerShot S100,70,57,10,8,250,87,199
Canon PowerShot S110,70,57,10,8,250,87,199
Canon PowerShot S1 IS,380,10,10,32,469,111,399
Canon PowerShot S20,64,66,12,16,320,106,399
Canon PowerShot S200,70,57,10,8,250,87,199
Canon PowerShot S230,70,47,10,16,250,87,199
Canon PowerShot S2 IS,432,50,10,16,505,113,399
Canon PowerShot S30,105,80,10,16,323,112,399
Canon PowerShot S300,105,76,16,8,270,95,199
Canon PowerShot S330,105,76,16,8,274,95,199
Canon PowerShot S3 IS,432,50,10,16,510,113,399
Canon PowerShot S40,105,80,10,16,323,112,139
Canon PowerShot S400,108,46,5,32,230,87,139
Canon PowerShot S410,108,0,5,32,215,87,139
Canon PowerShot S45,105,50,10,32,323,112,139
Canon PowerShot S50,105,50,10,32,323,112,399
Canon PowerShot S500,108,0,5,32,215,87,149
Canon PowerShot S5 IS,432,50,10,32,550,117,399
Canon PowerShot S60,100,50,4,32,300,114,399
Canon PowerShot S70,100,50,4,32,300,114,399
Canon PowerShot S80,100,50,4,32,290,104,399
Canon PowerShot SD10,38,0,3,32,140,90,199
Canon PowerShot SD100,70,47,10,16,185,85,199
Canon PowerShot SD1000,105,0,5,32,175,86,199
Canon PowerShot SD110,70,0,10,16,195,85,199
Canon PowerShot SD20,39,0,3,32,140,90,199
Canon PowerShot SD200,105,0,3,16,135,86,199
Canon PowerShot SD30,90,0,10,16,120,96,199
Canon PowerShot SD300,105,0,3,16,147,86,199
Canon PowerShot SD40,90,0,10,16,120,96,199
Canon PowerShot SD400,105,0,3,16,150,86,199
Canon PowerShot SD430 Wireless,105,0,3,16,185,99,199
Canon PowerShot SD450,105,0,3,16,155,86,199
Canon PowerShot SD500,111,0,5,32,200,90,199
Canon PowerShot SD550,111,0,5,32,185,90,199
Canon PowerShot SD600,105,30,3,16,170,86,199
Canon PowerShot SD630,105,30,3,16,175,90,199
Canon PowerShot SD700 IS,140,45,2,16,195,90,384
Canon PowerShot SD750,105,0,5,32,170,92,384
Canon PowerShot SD800 IS,105,0,3,16,195,90,384
Canon PowerShot SD850 IS,140,45,2,32,195,90,384
Canon PowerShot SD870 IS,105,45,2,32,165,93,384
Canon PowerShot SD900,111,0,5,32,205,91,199
Canon PowerShot SD950 IS,133,50,5,32,205,96,384
Canon PowerShot SX100 IS,360,50,1,32,316,109,299
Canon PowerShot TX1,390,50,10,0,260,89,139
Casio Exilim EX-P505,190,40,1,7,275,99,249
Casio Exilim EX-P600,132,40,10,9,275,98,249
Casio Exilim EX-P700,132,40,10,9,275,98,249
Casio Exilim EX-S100,102,40,17,9,123,88,249
Casio Exilim EX-S20,35,80,30,10,100,83,249
Casio Exilim EX-S3,35,80,80,10,110,90,249
Casio Exilim EX-S500,114,40,17,8,125,90,249
Casio Exilim EX-S600,114,40,15,8,155,90,249
Casio Exilim EX-S600d,114,40,15,8,155,90,249
Casio Exilim EX-S880,114,50,15,10,138,94.5,249
Casio Exilim EX-V7,266,30,10,11,190,96,299
Casio Exilim EX-V8,266,40,10,11,199,96,299
Casio Exilim EX-Z10,114,40,6,8,154,90,329
Casio Exilim EX-Z1000,114,40,6,8,185,92,329
Casio Exilim EX-Z1050,114,40,10,15,165,91,329
Casio Exilim EX-Z1080,114,40,10,11,165,91,329
Casio Exilim EX-Z110,114,40,6,8,151,90,329
Casio Exilim EX-Z120,114,50,10,8,154,90,329
Casio Exilim EX-Z1200 SR,111,40,6,11,162,93,329
Casio Exilim EX-Z3,105,40,6,16,170,87,329
Casio Exilim EX-Z30,105,40,6,9,150,87,329
Casio Exilim EX-Z4,105,40,6,16,170,87,329
Casio Exilim EX-Z40,105,40,6,9,150,87,329
Casio Exilim EX-Z5,114,40,10,8,160,95,329
Casio Exilim EX-Z50,105,50,6,9,171,87,329
Casio Exilim EX-Z500,114,40,17,8,127,89,329
Casio Exilim EX-Z55,105,50,6,9,180,87,329
Casio Exilim EX-Z57,105,40,6,9,175,89,199
Casio Exilim EX-Z60,114,40,10,8,148,95,329
Casio Exilim EX-Z70,114,40,10,8,140,95,199
Casio Exilim EX-Z700,114,40,15,8,154,89,329
Casio Exilim EX-Z75,114,40,10,8,156,95,199
Casio Exilim EX-Z750,114,40,10,9,165,89,329
Casio Exilim EX-Z77,114,40,10,11,128,95,199
Casio Exilim EX-S770,114,40,15,6,176,95,249
Casio Exilim EX-Z850,114,40,10,8,185,89,249
Casio GV-10,35,60,10,8,320,101,249
Casio GV-20,35,60,10,8,320,101,249
Casio QV-2000UX,108,50,20,8,320,130,249
Casio QV-2100,41,80,20,16,260,108,249
Casio QV-2300UX,123,10,1,8,245,67,249
Casio QV-2400UX,123,10,1,8,245,67,249
Casio QV-2800UX,320,40,1,8,295,81,249
Casio QV-2900UX,320,40,1,8,295,81,249
Casio QV-3EX,41,50,10,16,245,115,249
Casio QV-300,106,60,9,4,290,162,249
Casio QV-3000EX,100,30,6,16,360,134,249
Casio QV-3500EX,100,30,6,16,360,134,249
Casio QV-4000,102,30,6,16,420,118,249
Casio QV-5000SX,35,30,10,8,320,147,249
Casio QV-5500SX,36,30,10,8,320,131,249
Casio QV-5700,102,30,6,16,420,118,249
Casio QV-700,38,70,14,4,290,147,249
Casio QV-7000SX,64,23,10,8,320,141,249
Casio QV-770,38,70,14,4,300,129,249
Casio QV-8000SX,320,40,1,8,320,141,249
Casio QV-R3,113,40,14,11,240,90,249
Casio QV-R4,113,40,14,11,240,90,249
Casio QV-R40,117,60,10,11,210,88,249
Casio QV-R41,117,60,10,9,198,88,249
Casio QV-R51,117,60,10,9,210,88,249
Casio QV-R61,117,70,10,9,218,88,249
Casio QV-R62,117,70,10,9,218,88,249
Contax N Digital,0,0,0,0,0,152,549
Contax TVS Digital,105,60,15,0,260,112,549
Epson PhotoPC 800,38,50,15,8,280,113,229
Epson PhotoPC 850 Zoom,105,0,0,0,0,0,229
Epson PhotoPC L-500V,102,50,5,16,200,92,159
Epson PhotoPC 3000 Zoom,102,50,5,16,360,107,399
Epson PhotoPC 3100 Zoom,102,50,5,16,360,107,399
Epson PhotoPC 500,43,60,20,2,320,142,229
Epson PhotoPC 550,43,60,10,1,170,107,229
Epson PhotoPC 600,36,50,20,4,270,143,229
Epson PhotoPC 650,39,60,15,8,400,135,229
Epson PhotoPC 700,35,50,10,4,0,0,229
Epson PhotoPC 750 Zoom,102,80,20,8,0,0,229
Epson PhotoPC L-300,102,50,11,16,285,105,399
Epson PhotoPC L-400,102,50,11,16,285,105,129
Epson PhotoPC L-410,102,50,11,16,203,92,129
Epson R-D1,0,0,0,0,620,142,4499
Fujifilm FinePix 40i,36,50,6,64,200,85.5,169
Fujifilm FinePix 50i,36,50,6,64,200,85.5,169
Fujifilm DS-260HD,105,90,25,4,700,100,169
Fujifilm DS-300,105,20,20,0,700,153,169
Fujifilm FinePix 1300,38,80,8,8,240,110,169
Fujifilm FinePix 2300,36,80,8,8,240,110,169
Fujifilm FinePix 2400 Zoom,114,80,10,8,290,125,169
Fujifilm FinePix 2600 Zoom,114,80,10,16,260,99,169
Fujifilm FinePix 2650,114,80,8,16,235,100,169
Fujifilm FinePix 2800 Zoom,228,80,10,16,360,95,169
Fujifilm Finepix 30i,38,60,8,16,200,85,199
Fujifilm FinePix 3800,228,80,10,16,400,100,399
Fujifilm FinePix 4800 Zoom,108,60,20,16,280,80,169
Fujifilm FinePix 4900 Zoom,210,50,10,16,450,110,169
Fujifilm FinePix 6800 Zoom,108,60,20,16,280,80,169
Fujifilm FinePix 6900 Zoom,210,50,10,16,450,110,169
Fujifilm FinePix A101,36,80,8,8,190,99,169
Fujifilm FinePix A120,38,80,9,16,170,102,169
Fujifilm FinePix A200,36,80,8,16,180,99,169
Fujifilm FinePix A201,36,80,8,16,190,99,169
Fujifilm FinePix A203,114,60,10,16,180,97,169
Fujifilm FinePix A205 Zoom,108,80,10,16,225,99,169
Fujifilm FinePix A210 Zoom,108,80,10,16,225,99,169
Fujifilm FinePix A303,114,60,10,16,180,97,169
Fujifilm FinePix A310 Zoom,114,60,10,16,190,97,169
Fujifilm FinePix A330,114,60,10,16,160,104,169
Fujifilm FinePix A340,114,60,10,16,160,104,169
Fujifilm FinePix A345 Zoom,105,60,6,16,192,90,169
Fujifilm FinePix A350 Zoom,105,60,6,16,192,90,169
Fujifilm FinePix A400 Zoom,114,60,10,12,170,93,169
Fujifilm FinePix A500 Zoom,114,60,10,12,170,93,169
Fujifilm FinePix A600 Zoom,108,50,10,12,195,93,169
Fujifilm FinePix A610,117,60,10,10,195,98,169
Fujifilm FinePix A800,108,50,10,10,200,98,169
Fujifilm FinePix A820,156,60,10,10,205,98,169
Fujifilm FinePix A900,156,60,10,10,205,98,169
Fujifilm FinePix A920,156,60,10,10,206,98,169
Fujifilm FinePix E500 Zoom,91,60,6,16,226,101,169
Fujifilm FinePix E510 Zoom,91,60,2,16,226,101,169
Fujifilm FinePix E550 Zoom,130,60,7,16,260,105,169
Fujifilm FinePix E900 Zoom,128,60,7,16,260,102,169
Fujifilm FinePix F10 Zoom,108,60,8,16,190,92,179
Fujifilm FinePix F11 Zoom,108,60,5,16,190,92,199
Fujifilm FinePix F20 Zoom,108,60,5,10,190,94,169
Fujifilm FinePix F30 Zoom,108,60,5,10,185,93,169
Fujifilm FinePix F31 fd,108,60,5,26,185,93,199
Fujifilm FinePix F401 Zoom,114,60,10,16,200,85,169
Fujifilm FinePix F402,39,50,6,16,145,77,199
Fujifilm FinePix F40 fd,108,45,7,25,181,96,199
Fujifilm FinePix F410 Zoom,114,60,10,16,205,85,169
Fujifilm FinePix F420 Zoom,108,60,8,16,180,77,169
Fujifilm FinePix F440 Zoom,130,60,9,16,180,75,169
Fujifilm FinePix F450 Zoom,130,60,9,16,180,75,199
Fujifilm FinePix F455 Zoom,130,60,9,16,180,93,199
Fujifilm FinePix F470 Zoom,105,70,10,16,150,92,169
Fujifilm FinePix F480 Zoom,112,40,5,12,170,96,169
Fujifilm FinePix F50 fd,105,45,7,25,205,93,199
Fujifilm FinePix F601Z,108,60,20,16,280,72,169
Fujifilm FinePix F610,105,60,9,16,205,72,169
Fujifilm FinePix F650 Zoom,180,60,3,32,200,105,169
Fujifilm FinePix F700,105,60,9,16,205,108,169
Fujifilm FinePix F710,130,60,8,16,225,110,169
Fujifilm FinePix F810 Zoom,130,60,7,16,250,110,169
Fujifilm FinePix IS-1,300,0,0,0,750,128,169
Fujifilm FinePix M603,76,60,20,16,280,65,169
Fujifilm FinePix S20 Pro,210,50,1,16,597,121,1699
Fujifilm FinePix S3000 Z,228,80,10,16,400,100,229
Fujifilm FinePix S3500 Zoom,234,80,10,16,385,100,229
Fujifilm FinePix S5000 Z,370,90,10,16,430,113,229
Fujifilm FinePix S5100 Zoom,370,90,10,16,387,113,229
Fujifilm FinePix S5200 Zoom,380,90,1,16,470,114,229
Fujifilm FinePix S5700 Zoom,380,30,10,27,406,106,229
Fujifilm FinePix S6000 fd,300,40,10,10,700,131,399
Fujifilm FinePix S602Z,210,50,1,16,590,121,399
Fujifilm FinePix S602Z Pro,210,50,1,340,590,121,1699
Fujifilm FinePix S7000 Z,210,50,1,16,590,121,229
Fujifilm FinePix S8000 fd,486,70,10,58,510,111,399
Fujifilm FinePix S9000 Z,300,50,1,16,745,128,229
Fujifilm FinePix S9100,300,0,0,0,750,128,229
Fujifilm FinePix V10 Zoom,130,60,9,16,185,83,179
Fujifilm FinePix Z1,108,60,8,16,170,90,179
Fujifilm FinePix Z10  fd,114,60,8,54,160,91,399
Fujifilm FinePix Z2,108,60,8,16,170,90,179
Fujifilm FinePix Z3,108,60,8,10,170,89,179
Fujifilm FinePix IS Pro,0,0,0,0,920,147,1699
Fujifilm MX-1200,38,70,10,4,240,110,169
Fujifilm MX-1400,114,80,10,4,390,74,169
Fujifilm MX-1500,38,50,10,4,250,104,169
Fujifilm MX-1700,114,80,20,8,270,79,169
Fujifilm MX-2700,35,50,9,4,260,80,169
Fujifilm MX-2900 Zoom,105,90,25,8,385,130,179
Fujifilm FinePix 4700 Zoom,108,80,20,16,280,78,169
Fujifilm MX-500,35,50,9,2,220,123,169
Fujifilm MX-600 Zoom,115,90,25,4,0,122,179
Fujifilm MX-700,35,50,9,2,260,80,169
Fujifilm FinePix S1 Pro,0,0,0,16,820,148,1699
Fujifilm FinePix S2 Pro,0,0,0,0,850,142,1699
Fujifilm FinePix S3 Pro,0,0,0,0,930,148,1699
Fujifilm FinePix S5 Pro,0,0,0,0,920,147,1699
HP Photosmart 320,38,75,0,8,240,113,179
HP Photosmart 435,36,85,85,16,190,117,179
HP Photosmart 620,102,20,20,8,280,120,179
HP Photosmart 635,114,80,10,16,240,240,179
HP Photosmart 715,102,60,20,16,320,127,179
HP Photosmart 720,102,20,20,16,340,118,179
HP Photosmart 735,114,0,0,16,290,105,179
HP Photosmart 812,111,50,14,0,245,95,179
HP Photosmart 850,300,50,10,0,489,114,179
HP Photosmart 935,111,50,14,32,260,97,179
HP Photosmart 945,300,50,10,32,500,123,179
HP Photosmart C20,39,60,20,4,300,127,179
HP Photosmart C200,35,60,20,8,300,126,179
HP Photosmart C215,43,60,10,4,290,124,179
HP Photosmart C30,35,60,20,4,300,126,179
HP Photosmart C315,38,30,30,8,280,128,179
HP Photosmart C500,115,0,0,16,410,153,179
HP Photosmart C618,108,50,10,16,630,144,179
HP Photosmart C912,108,50,10,16,150,99,179
HP Photosmart E317,35,60,10,16,231,95,179
HP Photosmart E327,35,60,0,16,170,96,179
HP Photosmart E337,36,100,0,16,170,96,179
HP Photosmart M22,36,0,0,16,172,109,179
HP Photosmart M23,36,0,10,16,172,109,179
HP Photosmart M307,111,80,10,16,177,107,179
HP Photosmart M407,111,50,10,16,190,95,179
HP Photosmart M417,108,50,12,16,181,96,179
HP Photosmart M425,114,50,12,32,172,109,179
HP Photosmart M437,114,50,10,16,190,95,179
HP Photosmart M517,108,80,12,16,190,97,179
HP Photosmart M525,114,50,12,16,192,96,179
HP Photosmart M527,114,50,12,16,227,99,179
HP Photosmart M537,114,50,0,32,157,90,179
HP Photosmart Mz67,210,0,14,32,157,90,179
HP Photosmart R507,105,50,6,32,205,96,179
HP Photosmart R607,105,50,14,32,205,96,179
HP Photosmart R707,117,50,14,32,150,93,179
HP Photosmart R717,117,50,10,32,150,93,179
HP Photosmart R725,118,50,10,32,136,94,179
HP Photosmart R727,118,50,5,32,190,91,179
HP Photosmart R742,108,50,3,32,190,91,179
HP Photosmart R817,180,20,3,32,205,100,179
HP Photosmart R818,180,20,1,32,200,96,179
HP Photosmart R837,118,50,12,32,227,105,179
HP Photosmart R927,105,50,10,,,,179
HP Photosmart R937,118,50,,,,,179
JVC GC-QX3HD,86,50,2,8,320,111,14
JVC GC-QX5HD,86,50,2,16,320,111,14
Kodak C300,37,80,0,16,198,104,129
Kodak C310,35,85,85,16,154,103,129
Kodak C330,102,60,13,16,180,91,129
Kodak C340,102,60,13,16,198,92,129
Kodak C360,102,60,7,32,170,84,129
Kodak C433,108,60,10,16,180,91,126
Kodak C513,108,60,13,16,188,91,126
Kodak C533,111,60,10,16,200,91,126
Kodak C613,108,60,13,16,187,91,126
Kodak C643,108,60,13,22,195,92,126
Kodak C653,108,60,10,22,195,89,126
Kodak C663,102,60,5,32,190,85,126
Kodak C743,111,60,13,32,195,92,126
Kodak C763,105,60,5,32,180,90,126
Kodak C875,185,60,10,32,225,91,126
Kodak CX4200,37,75,20,16,250,109,129
Kodak CX4230,108,50,10,16,280,115,129
Kodak CX4300,76,30,15,16,250,109,126
Kodak CX6200,37,50,50,8,195,104,129
Kodak CX6230,108,50,50,16,225,104,129
Kodak CX6330,111,60,60,16,225,103,126
Kodak CX7220,78,50,60,16,195,104,129
Kodak CX7300,37,80,0,16,162,104,126
Kodak CX7330,111,60,13,16,225,103,126
Kodak CX7430,102,60,10,16,198,103,126
Kodak CX7530,102,60,10,32,240,103,126
Kodak DC200,39,70,0,4,400,131,129
Kodak DC200 plus,39,70,0,4,400,131,129
Kodak DC210 plus,58,50,20,8,400,131,129
Kodak DC215,58,50,20,4,320,115,129
Kodak DC220,58,50,20,8,550,118,129
Kodak DC240,117,50,25,8,420,133,129
Kodak DC260,115,30,0,8,550,118,129
Kodak DC265,115,30,0,16,550,118,129
Kodak DC280,60,50,25,20,420,133,129
Kodak DC290,115,30,0,20,550,118,129
Kodak DC3200,39,60,0,2,240,113,129
Kodak DC3400,76,50,25,20,420,133,129
Kodak DC3800,33,50,20,0,200,95,129
Kodak DC4800,84,50,20,16,320,120,129
Kodak DC5000,60,50,20,16,459,140,126
Kodak DCS 14n,0,0,0,0,1000,131,129
Kodak DCS315,0,0,0,0,1800,137,126
Kodak DCS330,0,0,0,0,1080,137,126
Kodak DCS420,0,0,0,0,1700,170,129
Kodak DCS460,0,0,0,0,1700,170,129
Kodak DCS520,0,0,0,0,1650,161,129
Kodak DCS560,0,0,0,0,1650,161,129
Kodak DCS620,0,0,0,0,1580,194,129
Kodak DCS620x,0,0,0,0,1580,194,129
Kodak DCS660,0,0,0,0,1580,194,129
Kodak DCS720x,0,0,0,0,1580,194,129
Kodak DCS760,0,0,0,0,1860,194,129
Kodak DCS SLR/c,0,0,0,0,1000,137,129
Kodak DCS SLR/n,0,0,0,0,1000,131,129
Kodak DX3215,60,75,22,8,260,121,129
Kodak DX3500,38,75,22,8,225,120,129
Kodak DX3600,70,50,28,8,250,120,129
Kodak DX3700,37,50,15,8,250,150,129
Kodak DX3900,70,50,7,8,260,116,129
Kodak DX4330,114,60,7,16,260,111,126
Kodak DX4530,114,60,7,32,210,111,126
Kodak DX4900,70,50,7,16,260,116,129
Kodak DX6340,144,50,10,16,280,109,126
Kodak DX6440,132,50,10,16,270,109,129
Kodak DX6490,380,60,12,16,380,100,129
Kodak DX7440,132,50,10,32,270,100,129
Kodak DX7590,380,60,12,32,400,97,126
Kodak DX7630,117,60,7,32,270,100,126
Kodak Easyshare One,100,60,10,256,275,103,296
Kodak LS420,38,80,0,8,160,109,129
Kodak LS443,105,70,13,16,260,109,129
Kodak LS633,111,60,13,16,260,114,126
Kodak LS743,100,60,12,16,220,108,126
Kodak LS753,108,60,12,32,220,108,126
Kodak LS755,108,70,5,16,210,95,126
Kodak M753,111,40,7,16,165,93,126
Kodak M853,111,40,7,16,165,93,146
Kodak M873,114,70,10,32,160,92,146
Kodak M883,114,70,10,64,166,92,146
Kodak mc3,37,70,0,16,198,105,129
Kodak P712,432,50,10,32,440,108,126
Kodak P850,432,10,10,32,450,108,146
Kodak P880,140,10,5,32,570,116,146
Kodak V1003,108,60,5,24,185,103,129
Kodak V530,108,60,7,16,150,92,126
Kodak V550,108,60,7,32,160,94,126
Kodak V570,117,0,0,32,175,101,129
Kodak V610,380,0,0,32,195,111,129
Kodak V705,117,60,5,32,165,101,126
Kodak V803,108,60,5,24,185,103,146
Kodak Z1275,175,60,10,64,211,90,129
Kodak Z612,420,50,10,32,330,104,129
Kodak Z650,380,60,12,32,320,98,126
Kodak Z700,175,60,10,16,270,97,126
Kodak Z710,380,60,12,32,360,98,126
Kodak Z712,423,60,13,32,350,104,126
Kodak Z730,132,50,10,32,270,100,126
Kodak Z740,380,60,12,32,330,98,126
Kodak Z7590,380,60,12,32,400,97,126
Kodak Z760,117,60,7,32,259,100,126
Kodak Z885,180,60,7,32,211,90,146
Kyocera Finecam 3300,76,60,10,8,240,38,169
Kyocera Finecam L30,115,60,20,16,220,111,169
Kyocera Finecam L3V,115,60,20,16,220,112,169
Kyocera Finecam L4V,105,60,20,16,220,112,199
Kyocera Finecam M400R,370,60,10,0,340,107,169
Kyocera Finecam M410R,370,60,10,0,340,107,179
Kyocera Finecam S3,76,30,6,16,160,30,1699
Kyocera Finecam S3L,105,55,12,16,205,92,1699
Kyocera Finecam S3R,105,60,17,16,205,92,1699
Kyocera Finecam S3x,105,55,12,16,175,32,1699
Kyocera Finecam S4,105,55,12,16,175,32,1699
Kyocera Finecam S5,105,55,12,16,205,92,1699
Kyocera Finecam S5R,105,60,17,16,205,92,1699
Kyocera Finecam SL300R,115,60,20,16,175,100,229
Kyocera Finecam SL400R,115,60,20,16,155,100,229
Leica C-LUX 1,102,50,5,16,155,94,509
Leica Digilux,35,50,9,2,260,80,149
Leica Digilux 1,100,30,6,32,455,127,249
Leica Digilux 2,90,30,30,64,705,135,249
Leica Digilux 3,0,0,0,0,606,146,269
Leica Digilux 4.3,108,80,20,16,280,78,149
Leica Digilux Zoom,114,80,20,8,270,79,249
Leica D-LUX 2,112,50,5,32,220,106,509
Leica D-LUX 3,112,50,5,13,220,106,509
Leica M8,0,0,0,0,591,139,146
Leica V-LUX 1,420,30,5,32,734,141,509
Nikon Coolpix 100,52,23,14,1,200,60,229
Nikon Coolpix 2000,114,0,0,8,295,108,229
Nikon Coolpix 2100,108,30,4,8,215,88,99
Nikon Coolpix 2200,108,30,4,14,190,88,229
Nikon Coolpix 2500,111,30,4,8,250,114,229
Nikon Coolpix 300,45,23,14,4,250,78,229
Nikon Coolpix 3100,115,30,4,16,215,88,99
Nikon Coolpix 3200,115,30,4,14,190,88,229
Nikon Coolpix 3500,111,30,4,8,250,114,229
Nikon Coolpix 3700,105,30,3,16,162,95.5,229
Nikon Coolpix 4100,105,0,0,14,190,88,99
Nikon Coolpix 4200,114,30,4,12,180,88,229
Nikon Coolpix 4300,114,30,4,16,286,95,229
Nikon Coolpix 4500,155,30,2,16,374,130,229
Nikon Coolpix 4600,102,30,4,14,180,85,229
Nikon Coolpix 4800,300,40,1,13,295,106,229
Nikon Coolpix 5000,85,50,2,32,414,102,229
Nikon Coolpix 5200,114,30,4,12,180,88,229
Nikon Coolpix 5400,116,50,1,16,400,108,229
Nikon Coolpix 5600,102,30,4,14,180,85,229
Nikon Coolpix 5700,280,50,3,32,512,108,229
Nikon Coolpix 5900,114,30,4,13,185,88,229
Nikon Coolpix 600,36,50,14,8,220,110,229
Nikon Coolpix 700,35,30,9,8,340,114,229
Nikon Coolpix 7600,114,30,4,14,195,85,229
Nikon Coolpix 775,115,30,4,8,230,87,159
Nikon Coolpix 7900,114,30,4,13,185,88,229
Nikon Coolpix 800,76,30,7,8,360,119,229
Nikon Coolpix 8400,85,50,3,0,470,113,229
Nikon Coolpix 8700,280,50,3,0,512,113,229
Nikon Coolpix 880,95,40,4,8,320,99.5,229
Nikon Coolpix 8800,350,50,3,0,680,116,229
Nikon Coolpix 885,114,40,4,16,286,95,159
Nikon Coolpix 900,115,50,20,4,420,157,229
Nikon Coolpix 900S,115,50,20,8,420,157,229
Nikon Coolpix 950,115,30,2,8,480,143,229
Nikon Coolpix 990,115,30,2,16,450,143,229
Nikon Coolpix 995,152,30,2,16,420,138,159
Nikon Coolpix L1,190,50,4,10,195,90,99
Nikon Coolpix L10,112,40,15,7,165,90,99
Nikon Coolpix L11,112,40,15,7,175,90,99
Nikon Coolpix L12,105,50,15,21,175,91,99
Nikon Coolpix L14,114,60,10,23,225,91,129
Nikon Coolpix L15,105,50,15,32,225,91,159
Nikon Coolpix L2,116,30,10,23,170,91,99
Nikon Coolpix L3,116,30,10,23,170,91,99
Nikon Coolpix L4,114,30,4,10,165,87,99
Nikon Coolpix L5,190,50,4,8,210,97,99
Nikon Coolpix L6,116,30,10,23,175,91,99
Nikon Coolpix P1,126,50,4,32,185,91,99
Nikon Coolpix P2,126,50,4,16,185,91,229
Nikon Coolpix P3,126,30,4,23,200,92,229
Nikon Coolpix P4,126,30,4,23,200,92,229
Nikon Coolpix P50,102,50,5,52,210,95,229
Nikon Coolpix P5000,126,30,4,26,240,98,399
